event_time,duration
1132811926.3125,0.6875
1131555114.0625,0.697749972343445
1131603359.4375,1.0
1132873523.1875,0.375
1131565760.53125,1.3125
1133340585.8125,0.75
1132817483.8125,0.75
1133475250.4375,0.375
1131394204.8125,1.09113001823425
1128671263.59375,0.4375
1127827312.08594,0.3125
1130178895.3125,0.75
1132963937.3125,0.5
1129627602.40625,0.5625
1133123099.3125,2.125
1132168959.90625,0.690429985523224
1131947131.5625,1.375
1131688739.8125,0.71875
1132549566.1875,1.0
1133477668.3125,0.9375
1131171709.84375,1.125
1130840904.46875,1.0
1131683303.3125,1.625
1132768417.8125,0.5
1131566185.6875,0.810549974441528
1130055498.6875,0.75
1133140117.8125,0.861329972743988
1131390289.8125,0.6875
1131446977.9375,0.625
1132780357.0625,0.625
1134920886.4375,0.777339994907379
1133140520.5625,0.625
1130190063.0625,0.515619993209839
1132221348.1875,0.625
1134295840.6875,0.875
1132056438.1875,0.5
1131681816.8125,0.625
1132055658.53125,1.0
1132167320.96875,2.0625
1131599456.1875,0.625
1131442901.1875,0.84375
1131660482.8125,0.63672000169754
1127792812.61719,0.3125
1127221010.88281,0.4375
1131290040.4375,0.8125
1131417286.6875,0.4375
1132765600.5625,1.625
1132166670.4375,1.0
1128268187.69531,0.375
1133477788.1875,0.875
1131285407.03125,2.5
1131116818.84375,2.5625
1132985121.8125,0.75
1133084432.59375,1.4375
1129829819.84375,0.3125
1131706871.3125,1.125
1132175140.71875,1.1875
1133084476.09375,0.5625
1132746265.59375,1.0
1128268685.27344,0.375
1130512150.4375,0.875
1131702730.6875,0.5
1131736147.46875,0.625
1131527969.78125,1.35938000679016
1131446238.59375,2.03125
1132067381.53125,0.5625
1132006391.8125,0.75
1134287435.5625,0.625
1130971569.8125,0.5
1130009262.53125,1.5625
1131443905.8125,0.375
1131702819.5625,0.875
1128320413.82031,0.3125
1133467139.1875,0.5625
1133114454.6875,0.75
1129709530.90625,1.8125
1130392849.90625,1.625
1133081827.3125,0.75
1132807955.0625,0.933589994907379
1129756386.15625,0.83202999830246
1132159292.53125,1.25
1133329768.0625,0.5
1132770046.6875,0.5
1133123720.40625,1.42383003234863
1131170287.1875,1.0625
1129980140.53125,1.0
1132377945.8125,1.12890994548798
1132734655.15625,0.5625
1132712787.0625,0.813970029354095
1131710995.4375,0.875
1130676242.6875,0.625
1130676619.0625,0.75
1131440805.4375,0.625
1132733125.3125,1.0
1130579295.6875,1.75
1133479408.8125,0.75
1133336649.8125,0.5
1131113584.9375,1.0
1131566243.34375,0.96875
1132804568.1875,0.5
1131528341.5625,1.07177996635437
1132035141.9375,0.6875
1131703257.9375,0.875
1132727074.0625,0.625
1131449381.1875,1.0
1130778584.1875,0.625
1131306693.8125,1.5
1133337157.9375,0.95702999830246
1133483822.6875,0.5
1132129742.9375,0.75
1130049666.71875,1.1875
1130009676.4375,0.5
1132029760.59375,1.375
1133475256.9375,0.5
1132030143.3125,0.625
1131114377.28125,1.0625
1132745441.6875,0.625
1129643169.40625,0.625
1131532122.5625,0.61327999830246
1132964667.8125,0.5
1132397920.0625,0.625
1137008429.375,2.25
1131445484.90625,1.875
1132824944.0625,0.625
1131560387.4375,1.875
1131566729.59375,2.5
1131416843.5625,1.125
1127988768.53125,0.5
1130174489.1875,1.15625
1133482147.0625,0.625
1133337918.3125,0.5
1129798753.03125,0.375
1131444562.9375,0.5
1131179529.8125,0.75
1132035729.40625,0.375
1130674853.46875,1.3125
1133210019.3125,1.41411995887756
1132640546.65625,0.875
1132163972.8125,0.88672000169754
1133128044.4375,0.5
1133469343.9375,0.375
1132738459.84375,1.875
1132722337.3125,0.875
1130328736.6875,0.6875
1134379855.4375,1.0
1131717139.5625,0.625
1134155666.5625,0.625
1130095501.6875,0.625
1130915932.1875,0.75
1133890986.1875,0.9375
1132740863.0625,0.9375
1130843151.5625,0.875
1127560562.34375,0.5
1131445649.78125,1.0
1126562752.03125,0.5
1130017976.4375,0.625
1130416389.8125,0.75
1133886839.5625,0.5
1131666803.0625,0.625
1130904841.3125,0.75
1132781625.9375,1.0
1131759683.5625,1.125
1130512174.07812,0.6875
1132034559.0625,0.5
1131735797.15625,0.8125
1128691312.03125,0.441410005092621
1131444234.03125,1.14038002490997
1131667941.1875,2.0
1130210320.8125,1.18359005451202
1132740626.0625,0.625
1130804229.4375,0.875
1131528222.9375,0.625
1131532263.21875,1.44018995761871
1133004968.3125,0.625
1133380063.4375,0.875
1133225448.3125,1.0
1131120594.8125,0.796880006790161
1131174663.9375,0.5
1132747366.46875,1.375
1131597707.0625,1.0
1132407529.9375,0.75
1132379483.8125,1.1875
1131452140.65625,1.875
1131530362.6875,0.875
1132823453.0625,0.75
1132847206.59375,0.84375
1129712317.71875,0.625
1130835935.4375,0.875
1127992706.28125,0.625
1130299275.0625,0.5
1131420633.5625,0.625
1132786424.8125,0.515619993209839
1133507762.9375,0.696290016174316
1131987379.03125,1.375
1132765917.84375,1.0625
1133083205.4375,2.125
1131667156.1875,0.75
1132733569.65625,1.4375
1130477228.9375,0.4375
1130862257.9375,0.625
1132803613.3125,0.625
1130186258.1875,0.5
1132003511.4375,0.78125
1131699247.90625,1.125
1132544933.6875,0.625
1127353458.90625,0.504880011081696
1133144775.65625,0.8125
1130181900.4375,0.875
1130522445.8125,1.125
1133334923.03125,0.8125
1131449550.59375,1.71875
1131524869.03125,2.875
1130865740.5625,0.91797000169754
1131565585.3125,1.0625
1134321452.8125,0.625
1132069353.1875,1.08594000339508
1131554983.1875,1.25
1130050615.96875,1.625
1132742374.4375,1.0
1129750577.28125,1.4375
1130832124.03125,1.0
1131446712.65625,1.375
1133299005.3125,0.875
1131447836.6875,1.61670005321503
1130827355.6875,1.05370998382568
1133404232.8125,0.875
1131698422.5625,0.75
1131761430.1875,0.75
1132056147.90625,1.25
1131118726.34375,2.15625
1132744275.53125,0.9375
1131559972.4375,0.5
1130010871.5625,0.5
1131117237.84375,1.02489995956421
1131157728.6875,0.625
1128000439.03125,0.5625
1132625763.5625,0.625
1131114010.4375,0.75
1131689351.5625,0.75
1129781339.34375,0.75
1131702676.28125,0.75
1131683569.0625,1.56445002555847
1132825134.8125,1.0
1132395753.0625,0.786130011081696
1132551274.28125,2.25
1131664544.1875,1.66308999061584
1133079296.0625,1.40234005451202
1132721909.1875,0.625
1130270402.1875,0.875
1132107131.5625,1.125
1133085282.03125,1.0
1131680781.9375,0.794430017471313
1132779808.9375,0.5
1132332651.4375,0.5
1133417582.0625,0.875
1132029686.78125,0.75
1131152610.0625,0.5
1132391838.6875,0.75
1132059928.53125,1.0625
1130907007.6875,1.45019996166229
1131289789.9375,1.25
1131667711.5625,0.75
1130965770.8125,0.625
1127665427.78125,0.5
1136363904.0625,0.75
1132155560.5625,0.625
1131555040.5625,0.375
1131447781.4375,0.5625
1131683661.4375,0.875
1132724587.3125,1.0
1133469310.1875,0.625
1133679119.8125,0.8125
1130478199.6875,0.75
1132714210.71875,0.6875
1130289027.8125,0.875
1131714288.8125,1.0
1128941818.84375,0.5
1131187980.9375,0.625
1131613239.8125,0.75
1133216852.5625,0.682619988918304
1130477182.8125,0.8125
1133148030.9375,1.0
1130248103.4375,0.875
1132784746.6875,0.625
1134185336.8125,0.677739977836609
1131115399.4375,0.625
1133085034.03125,1.03905999660492
1130266654.8125,1.0
1131532409.4375,0.5
1132726511.5625,0.75
1131999705.3125,0.625
1133478197.5625,0.625
1133299508.46875,1.375
1130238339.9375,1.01561999320984
1133013463.8125,0.875
1130010831.9375,6.25
1131530388.1875,0.875
1133337978.4375,1.375
1132015278.4375,0.5
1131602872.0625,0.75
1132639179.1875,1.15429997444153
1133687259.1875,0.5
1132738517.5625,0.875
1132762189.3125,0.5
1129014980.59375,0.875
1133507423.6875,0.625
1131558745.78125,0.75
1132535366.9375,0.637700021266937
1133340464.0625,0.625
1132771387.59375,0.5
1131558824.84375,0.5625
1131668883.5625,1.20311999320984
1133149814.6875,0.625
1133466842.3125,0.5
1132395821.4375,0.875
1133681543.78125,0.6875
1131118929.8125,0.642579972743988
1134209620.5625,0.625
1127505400.09375,0.171880006790161
1131757956.3125,0.914550006389618
1132110114.3125,0.75
1130903548.8125,0.625
1133233505.1875,1.125
1132017283.4375,0.5
1130298388.5625,0.625
1131522717.6875,1.375
1131103704.3125,0.625
1129774098.40625,1.3125
1129711620.57812,1.125
1131949702.4375,0.75
1131176462.6875,1.0
1132648115.1875,0.5
1133446090.3125,0.5
1126557742.59375,0.6875
1132732876.0625,0.55077999830246
1133466959.8125,0.5
1131712716.9375,0.75
1133412766.1875,0.875
1130217094.9375,0.635500013828278
1131108569.4375,2.0
1133417390.6875,0.633790016174316
1133493179.4375,0.875
1133964233.1875,0.75
1133444362.8125,0.5625
1132736573.8125,1.125
1133339618.1875,1.31835997104645
1132004361.4375,0.625
1132628540.8125,0.75
1132888534.5625,0.5
1130487523.8125,1.25
1128641597.28125,0.8125
1132640370.4375,0.625
1131723918.3125,0.625
1133680120.0625,0.625
1131387346.8125,0.75
1131646066.8125,0.75
1133083327.5625,1.5
1131531997.3125,0.5
1133379864.3125,0.5
1131756158.6875,1.06006002426147
1131723869.3125,0.5625
1131769289.5625,0.625
1131473828.5625,1.0625
1132715140.78125,1.0625
1132995817.4375,0.907720029354095
1133335255.9375,1.5
1131470259.9375,0.875
1130872473.6875,0.375
1131723203.1875,1.125
1133250940.6875,0.875
1132405261.8125,0.75
1131723793.28125,1.3125
1130589835.5625,0.709110021591187
1130845035.3125,1.125
1132857724.6875,0.765009999275208
1135975493.8125,0.75
1131766107.6875,1.21679997444153
1131438793.3125,0.90625
1133491193.8125,1.08594000339508
1130508261.5625,0.75
1130325978.9375,0.589839994907379
1131454009.3125,0.875
1130845893.9375,1.125
1132881621.3125,0.977540016174316
1131527671.8125,0.5
1130209205.1875,0.625
1131769630.8125,0.875
1133330983.3125,1.0
1131683014.65625,0.875
1131703892.4375,0.522459983825684
1133340066.8125,1.4570300579071
1132645122.8125,0.625
1133532558.8125,0.5
1131562226.90625,1.8125
1132034592.4375,0.5625
1131736114.6875,0.6875
1133339637.1875,0.75
1130332848.5625,0.5
1130573266.6875,0.625
1130040384.53125,1.0
1132964027.1875,0.625
1133295662.1875,0.90625
1131172989.0625,1.59668004512787
1133337470.8125,1.0
1132702055.1875,2.0
1132754184.53125,0.875
1131720804.4375,1.0625
1133448420.4375,1.25
1133799971.625,1.59375
1131690089.3125,0.75
1133744354.0625,0.666750013828278
1131287530.3125,1.18164002895355
1132731072.0625,1.03905999660492
1132965416.8125,0.875
1131529066.9375,0.5
1132547296.5625,0.625
1133469335.6875,0.5
1131280005.4375,1.5625
1133467047.4375,0.5
1130973707.4375,0.875
1132060865.5625,0.875
1132004625.8125,0.75
1131705870.6875,0.4375
1127404832.78125,0.375
1133451366.59375,0.5
1132726354.4375,1.0
1132734834.0625,0.78125
1127195511.28906,0.3125
1130145104.0625,1.125
1132634898.8125,0.75
1130058700.5625,0.75
1136374835.5625,0.5
1131761884.4375,0.625
1131532559.6875,0.736329972743988
1132767827.4375,0.5
1132168159.8125,2.5
1135593995.3125,1.12158000469208
1127427505.96875,0.4375
1132739593.3125,0.625
1134309758.71875,0.5
1132035514.0625,0.875
1132795195.0625,1.0
1133121137.3125,1.0
1129447601.40625,0.5
1130527811.0625,0.75
1133298821.1875,0.875
1131443466.6875,0.5
1130289744.1875,0.433589994907379
1131679457.3125,0.625
1132386395.0625,0.8125
1132714406.09375,0.5
1135821744.8125,0.516600012779236
1131658417.40625,2.875
1132724672.6875,2.0
1130043948.1875,0.5
