event_time,duration
1268032156.73926,3.25
1268884348.86523,2.5
1268032031.50488,2.0
1268031901.11621,1.0
1268033411.99609,1.5
1268051513.87012,2.75
1268036122.14453,1.75
1268049297.91601,1.75
1268082353.13867,1.75
1268102153.79541,0.875
1268096868.48047,1.25
1268096056.62891,1.75
1268094291.56787,1.0
1268095749.79492,1.5
1268096215.50391,2.5
1268124722.76758,2.75
1268108308.31836,1.75
1268251344.39648,2.5
1268138837.40234,1.75
1268182323.45117,1.25
1268235613.17871,1.75
1268165386.59766,2.25
1268177834.25635,2.9375
1268214274.8706,1.25
1268248197.49316,1.75
1268046747.30664,1.0
1268095752.50195,2.0
1268111459.43652,2.0
1268098952.68359,1.5
1268130067.29199,1.10938000679016
1268109506.08496,2.0
1268119605.94922,2.25
1268114251.48242,1.03125
1268116026.33276,1.125
1268127518.26611,1.0
1268133421.87891,0.75
1268134111.34619,0.5625
1268133422.03125,0.75
1268130821.16309,0.875
1268139211.58984,1.25
1268144624.64551,1.5
1268171780.54272,1.4804699420929
1268168187.18018,1.25
1268172677.70801,2.0
1268177641.87549,1.8125
1268172479.24146,0.90625
1268172391.53369,1.75
1268173851.11328,2.0
1268195614.94824,0.625
1268181142.97559,0.875
1268185173.51367,1.75
1268188338.86426,1.0
1268189651.45215,1.75
1268191036.73096,0.42577999830246
1268200472.80859,1.75
1268200780.74609,2.25
1268202865.98047,1.75
1268268524.74707,2.25
1268255622.0835,0.75
1268209501.2312,1.75
1268265473.00586,1.5
1268273978.3623,1.0
1268272739.74316,2.75
1268268903.21484,1.25
1268267950.95508,1.5
1268283838.00781,0.75
1268275555.14453,2.25
1268306339.25195,1.5
1268283837.96387,0.75
1268296669.23975,0.75
1268295626.2085,1.0
1268297771.03711,3.0
1268305923.88672,2.25
1268277644.104,2.375
1268292971.21777,2.0
1268292169.98145,0.75
1268301827.06103,1.28125
1268308209.51465,2.25
1268305773.35449,1.75
1268319554.16309,0.25
1268319695.1001,1.0
1268317580.33887,1.625
1268351756.01367,3.625
1268317718.52734,2.0
1268316540.06738,2.0527400970459
1268325760.56641,1.75
1268330125.47168,1.0
1268336625.4209,2.0
1268343550.06934,0.5
1268361113.37109,0.634769976139069
1268354808.3374,1.51561999320984
1268359591.05469,1.35938000679016
1268361118.96631,0.5
1268359670.83594,1.28905999660492
1268359572.83984,0.592769980430603
1268359562.58008,0.6875
1268361421.20312,4.375
1268355175.91797,1.75
1268357729.96777,1.5
1268359669.15234,0.75
1268359583.84766,0.933109998703003
1268361716.05176,1.25
1268354319.83887,1.75
1268359608.77539,1.75
1268359624.39844,0.15625
1268371896.89648,1.75
1268364413.72559,1.0
1268359682.64062,2.75
1268366012.13379,2.75
1268383645.95264,0.75
1268370065.47266,2.0
1268371363.28467,2.75
1268383646.01562,0.75
1268378703.11914,1.75
1268381583.00976,1.0
1268388876.67383,2.5
1268378831.2832,1.0
1268374355.1416,1.84375
1268394671.9668,1.34375
1268405274.36914,2.25
1268389160.10645,2.25
1268395181.37305,1.01561999320984
1268397791.39453,1.82177996635437
1268416993.53516,2.5
1268397982.07617,1.625
1268416901.4751,1.0
1268413961.38403,1.25
1268430623.64307,5.29687976837158
1268438345.86523,1.5
1268437668.23779,1.25
1268438655.60303,0.772459983825684
1268446360.90625,1.0686000585556
1268429146.47266,1.6875
1268447231.83594,1.5
1268447440.43945,0.818849980831146
1268447141.41504,0.875
1268446330.59766,3.90625
1268452604.76758,1.25
1268446333.55322,1.25
1268454928.72168,3.9570300579071
1268454872.76367,0.626950025558472
1268450847.16724,1.75
1268449693.58105,3.75
1268452761.73975,1.375
1268454943.30957,1.75
1268465646.12109,1.5
1268454939.17383,2.0214900970459
1268464541.71484,2.08008003234863
1268467238.93945,2.0
1268453489.75098,2.25
1268454760.06641,1.5
1268451595.06738,1.57616996765137
1268454925.63184,1.08350002765656
1268487221.98657,1.25
1268478156.13476,2.25
1268476176.49219,3.25
1268471602.09766,1.75
1268477476.81421,1.75
1268473650.97461,2.25
1268487908.47949,1.37109005451202
1268504089.4668,2.25
1268528929.90234,1.75
1268519280.81641,2.5
1268519286.79883,3.25
1268516715.28711,1.25
1268526932.5459,1.0
1268532807.5531,1.1445300579071
1268535941.01074,2.75
1268536483.5332,2.0
1268538956.58594,1.5
1268546745.2583,2.0
1268542831.62109,1.75
1268563350.63574,0.818359971046448
1268550920.51172,1.25
1268548594.15332,1.25
1268565798.47266,2.0
1268566976.23047,2.75
1268585490.65869,0.570309996604919
1268588091.08789,3.125
1268564544.97363,2.0
1268568600.2876,1.0
1268570435.5332,1.0
1268589335.40234,4.0
1268589427.1001,1.75
1268585622.94922,2.0
1268609068.31641,2.5
1268594447.57129,2.75
1268594497.4397,1.75
1268607566.22168,1.5
1268603599.73633,3.0
1268658238.12109,2.25
1268638101.56055,2.75
1268633251.13476,0.75
1268677103.9502,0.625
1268635563.85693,1.5
1268645678.27222,1.48438000679016
1268642047.4248,2.25
1268665737.62695,2.07811999320984
1268670215.95898,1.75
1268618558.73633,1.25
1268676878.38476,1.25
1268654526.81641,1.00780999660492
1268661873.78345,1.0
1268687680.07178,1.75
1268644325.7002,2.0
1268658676.4541,2.0
1268700937.66504,0.5
1268639447.42676,0.75
1268640982.41309,2.5
1268619419.20996,1.5
1268730645.45898,1.0
1268707329.36523,2.0
1268714453.82422,3.0
1268714864.88476,1.0
1268714822.58887,1.0
1268710687.66943,1.75
1268719434.6958,0.75
1268710783.36328,1.75
1268706598.86426,2.3125
1268737970.99609,1.75
1268717837.10547,2.0
1268702441.56836,2.13086009025574
1268696135.40039,2.25
1268733852.20898,2.0
1268719519.60449,2.0
1268712108.22754,1.625
1268704172.91797,0.5625
1268751029.18896,1.0
1268743154.76367,1.5
1268748245.13672,1.75
1268754733.56543,0.625
1268744970.44238,1.75
1268749935.14893,1.875
1268745398.86914,2.27741003036499
1268744011.38672,2.0
1268759005.37598,1.5
1268782954.55176,1.55834996700287
1268767727.77441,1.5
1268807721.14014,1.5
1268805405.65039,1.25
1268799853.3623,2.03125
1268804589.57715,1.75
1268792103.00293,2.0
1268779927.33301,2.25
1268809014.25439,0.75
1268789082.33325,2.5
1268765297.20557,2.25
1268795318.23047,2.5
1268779824.82324,1.375
1268792350.97803,0.875
1268782905.18945,1.5
1268767781.08789,2.25
1268806340.82178,1.5
1268793527.22266,1.75
1268808262.93848,1.5
1268767854.38428,0.625
1268786566.61719,1.25
1268791480.03711,2.32520008087158
1268812221.30762,1.75
1268813020.30371,2.04491996765137
1268825041.76953,2.06500005722046
1268812428.15039,1.75
1268812278.87988,1.25
1268824436.98242,2.0
1268816937.05566,1.5
1268818571.46777,1.375
1268815983.02441,1.79491996765137
1268819700.14355,1.25
1268825481.74609,1.5
1268823002.62842,1.78125
1268825685.57324,2.27099990844727
1268826256.25976,2.0
1268833293.05273,1.25
1268815870.73828,1.5
1268869860.28711,2.25
1268848215.15234,1.75
1268845706.03638,1.75
1268859330.21484,2.0
1268844644.08789,3.0
1268853735.18555,1.25
1268859956.43457,2.5
1268854411.99121,1.75
1268910319.229,1.59375
1268937622.58496,2.18945002555847
1268891483.83105,1.1875
1268875818.41211,1.25
1268894300.27734,3.75
1268920501.96875,0.25
1268942979.68066,2.5
1268892934.15527,3.2929699420929
1268883926.82861,1.5
1268918631.69141,2.68798995018005
1268894922.07422,2.25
1268895289.32422,2.5
1268894204.78491,2.25
1268900982.63037,1.59033000469208
1268970762.80078,1.75
1268920502.16675,0.625
1268980323.58887,3.0
1268966944.43359,1.125
1268881156.95264,4.0
1268963736.72461,2.75
1268953019.40234,2.375
1268960042.00293,1.25
1268959522.58496,1.25
1268973327.50391,1.75
1268965175.60547,1.25
1268951594.83008,3.125
1268966863.70703,2.0
1269008729.94824,0.875
1268988120.2251,3.5
1268996854.96582,1.25
1268986555.54395,1.75
1268990420.92432,1.375
1269001844.64648,1.125
1269006413.64258,2.0
1269006570.46362,1.5
1269012020.82471,1.28125
1269011067.39453,2.0625
1269029911.77734,2.257080078125
1268085175.49512,2.5
1268092827.3916,1.75
1268085722.14258,1.58789002895355
1268085151.74707,2.25
1268064767.87891,2.36718988418579
1268090074.45898,1.77734005451202
1268065446.28564,1.5
1268065388.51074,0.5
1268061091.17773,1.25
1268061178.39551,1.5
1268060884.19043,1.875
1268063741.81225,2.75
1268080415.65039,3.25
1268064448.43359,1.75
1238115470.52466,2.0
1268081981.14648,3.625
1268080421.70898,1.5
1238116802.2085,2.5
1238114763.4331,1.76122999191284
1238115083.41016,2.88574004173279
1238118184.82422,2.83081007003784
1238122734.07422,5.75
1238120055.61084,1.00024998188019
1238122548.61328,2.82520008087158
1238123866.68042,1.75
1238132317.04297,3.5
1238126855.69922,2.5
1238132159.26172,10.0
1238129070.45654,1.65625
1238144768.92578,3.25
1238132372.43359,4.5
1238134142.50391,3.75
1238133875.80615,6.0
1238139797.82617,4.875
1238137923.39453,4.25
1238138853.41113,2.25
1238140613.30273,2.375
