event_time,duration
1268032938.51172,0.375
1268910321.50391,1.0
1268038841.75391,1.0
1268030867.18945,0.1875
1268192336.01953,0.25
1268535394.27539,0.5
1268032955.18359,1.0
1268048397.43164,0.1875
1268040543.06641,0.75
1268039211.02148,0.5
1268039427.37109,1.25
1268047829.16016,1.0
1268052402.87109,0.75
1268048348.80664,0.625
1268047073.42383,0.09375
1268052692.59766,0.875
1268057365.13086,0.75
1268056284.74609,1.0
1268057057.89453,1.25
1268060302.76172,1.5
1268051086.67578,0.66797000169754
1268059313.16992,1.25
1268084438.52734,0.1875
1268058847.04492,0.625
1268058235.63672,0.15625
1268050903.47266,1.125
1268092864.26172,0.1875
1268094779.06641,1.0
1268093903.92578,0.1875
1268110876.61328,0.125
1268095847.2168,0.625
1268101131.02734,0.719969987869263
1268102243.23828,1.5
1268099374.57617,0.375
1268103230.87891,1.25
1268112047.96484,1.02123999595642
1268121052.19922,0.5
1268113397.69141,1.0
1268106306.39453,0.5
1268125445.77734,0.375
1268143523.69141,0.3125
1268133778.44922,1.25
1268128408.00391,0.5
1268131828.51953,0.375
1268137783.24609,3.5
1268135477.62891,1.5
1268148776.18945,0.5
1268140215.15234,0.625
1268139605.14453,0.75
1268137577.48828,0.625
1268142613.01953,1.0
1268145487.03516,1.56201004981995
1268146203.97656,1.0
1268166632.73047,0.125
1268165106.94141,0.625
1268179500.18359,0.375
1268162527.83203,1.0
1268164340.70703,0.21875
1268173026.01367,0.375
1268171036.23047,1.5
1268174902.89453,0.1875
1268170172.47851,0.75
1268179180.46484,0.875
1268189555.78516,0.5
1268171327.97266,0.1875
1268183761.01953,0.125
1268180036.73633,0.375
1268182311.15039,0.875
1268193397.89648,0.3125
1268195929.40234,0.15625
1268214630.62891,0.5
1268198779.55859,0.25
1268214079.87891,0.625
1268042860.74414,0.25
1268213235.37891,1.0
1268234670.77734,0.4375
1268049336.08203,1.5
1268040497.28516,0.625
1268096779.03516,0.625
1268041808.16797,0.09375
1268091558.88867,1.0
1268089109.54297,0.43163999915123
1268102082.92578,0.0781200006604195
1268041801.08984,0.75
1268091757.51953,0.375
1268096054.65234,1.25
1268102987.99023,1.0
1268098167.87109,1.25
1268108689.94922,1.75
1268104243.58984,0.375
1268100713.72266,0.5
1268096650.47461,0.5
1268108304.18164,0.1875
1268105242.89453,1.0
1268114491.70898,0.5
1268109813.01172,0.375
1268112827.30664,0.25
1268111634.57422,0.5
1268107455.14453,0.1875
1268112916.94141,1.25
1268112460.58984,1.5
1268108319.73047,0.28125
1268123800.20117,0.75
1268107231.30859,0.625
1268119932.01953,0.0781200006604195
1268117926.1543,0.25
1268116630.74609,0.25
1268117524.38672,1.5
1268130344.54492,0.3125
1268134410.23047,1.0
1268134429.91797,0.1875
1268128715.04297,1.0
1268141275.19726,0.625
1268135859.86328,1.25
1268137083.69922,1.25
1268140644.19336,1.0
1268140349.07422,0.375
1268140462.31641,1.75
1268173028.91016,1.0
1268148623.40234,0.125
1268171454.26172,0.9375
1268252338.12891,0.125
1268161702.94922,1.0
1268170455.69726,0.5
1268175511.44922,0.375
1268174596.26953,0.875
1268192537.69922,1.75
1268183281.77734,0.75
1268247563.29297,0.875
1268181458.01172,1.25
1268184851.90234,1.25
1268186030.93359,0.375
1268196124.62109,1.25
1268200068.98633,0.3125
1268197763.36328,0.09375
1268204610.98047,0.625
1268205875.32617,0.129879996180534
1268207240.02734,0.75
1268209205.91016,0.25
1268204946.72266,0.5
1268230893.89258,0.875
1268211828.32617,0.5
1268206703.80078,1.0
1268202281.89453,0.25
1268233060.25391,1.25
1268233255.83203,1.0
1268243974.05859,1.25
1268237693.69336,1.0
1268237708.9707,0.375
1268243796.65234,0.75
1268235605.06641,0.1875
1268242737.39453,1.04528999328613
1268244558.44141,0.1875
1268246627.12891,0.4375
1268247530.80859,1.5
1268245204.51953,0.125
1268263831.95703,1.5
1268248746.35547,1.75
1268247586.30859,0.4375
1268252657.58398,0.5
1268262632.44726,0.0468799993395805
1268262279.51953,0.625
1268262750.81641,0.625
1268255756.04297,0.25
1268262115.06641,0.0625
1268262904.77734,1.0
1268256367.14648,0.625
1268264638.08984,0.3125
1268273997.94336,1.0
1268256036.69141,1.0373500585556
1268274200.01172,0.625
1268266624.24609,0.1875
1268275096.35645,1.5
1268275293.44922,1.75
1268272954.52734,1.5
1268271192.15234,0.125
1268266280.55859,0.875
1268285789.12891,0.625
1268286868.83984,0.875
1268278977.67578,1.0
1268276806.08203,0.5
1268279227.84961,1.25
1268286622.83203,1.25
1268284571.87305,0.75
1268287157.37109,0.75
1268297674.58203,0.75
1268279025.62891,1.0
1268278817.87109,0.25
1268290172.94922,0.125
1268294172.40234,0.5
1268289051.74609,0.5
1268295749.05859,0.15625
1268297918.94141,0.75
1268294046.61328,1.25
1268296347.56641,1.5
1268294476.45703,1.25
1268289198.34766,1.0
1268294335.19922,1.5
1268287930.37109,1.5
1268294250.13867,0.625
1268298396.01367,0.09375
1268312479.23047,0.15625
1268305412.19141,0.125
1268298984.91016,2.5
1268300142.36621,0.75
1268312785.39453,1.25
1268314173.08203,0.625
1268299110.48828,0.75
1268306680.53516,0.25
1268309923.78516,0.3125
1268313464.78516,0.375
1268313108.89453,1.5
1268311093.39453,0.75
1268316713.81641,0.375
1268310990.48047,0.3125
1268316926.59766,0.5
1268319361.37109,0.25
1268315592.35742,0.125
1268322584.81641,0.5
1268327277.48047,1.0
1268327975.71484,0.3125
1268324841.94336,0.625
1268320622.93359,0.125
1268321885.84961,0.5
1268324752.38672,0.375
1268326725.66016,1.44470000267029
1268329050.64453,0.5
1268326876.36328,0.75
1268331298.91797,0.125
