event_time,duration
1268034246.60156,0.5
1268015512.85351,0.625
1268085016.26562,0.5
1268774766.50781,0.625
1268813015.27344,0.25
1268028526.81641,1.5
1268033395.89844,1.0
1268029374.48828,0.09375
1268033130.07812,4.3125
1268033832.39062,0.1875
1268033850.28906,0.1875
1268034211.71094,0.15625
1268033835.92969,2.65820002555847
1268034230.69531,0.569580018520355
1268033685.30469,3.8125
1268033122.48438,0.75
1268033846.10938,0.75
1268033092.14844,0.75
1268029535.16797,0.625
1268033683.14062,1.75
1268034233.61719,1.125
1268033387.48438,0.772949993610382
1268032216.90234,0.0625
1268033153.4375,1.125
1268057458.03125,1.25
1268047976.1582,0.25
1268042223.19922,0.1875
1268042215.01172,0.75
1268057023.35938,0.371089994907379
1268058358.14844,0.5
1268057399.67969,0.875
1268058861.64844,0.642090022563934
1268057352.82812,0.86327999830246
1268060462.63281,0.339839994907379
1268058863.61719,0.1875
1268058362.30469,1.25
1268051702.21484,0.1875
1268059837.07031,1.0
1268056792.05469,0.78125
1268059135.01953,0.15625
1268056368.96094,1.25
1268051196.96484,0.375
1268050886.46484,0.375
1268084656.91406,0.375
1268053797.97656,1.0
1268085063.45312,0.875
1268085309.45312,0.586910009384155
1268084888.76562,3.875
1268093659.49609,0.449710011482239
1268090490.15234,0.625
1268098495.82422,0.75
1268097881.65234,0.54297000169754
1268093806.03516,0.5
1268094394.52344,0.875
1268104334.73828,0.09375
1268094265.42969,0.1875
1268105039.08984,0.09375
1268130899.92773,0.0781200006604195
1268135233.97461,0.25
1268134077.58203,0.90625
1268125854.07031,0.75
1268133089.52734,0.53125
1268144130.17969,0.875
1268147125.96875,0.375
1268134974.98828,0.1875
1268133922.32031,0.6875
1268146700.67969,1.0
1268143591.78906,0.625
1268145333.11304,0.875
1268140239.08594,0.25
1268147126.04688,0.5
1268167714.75391,0.18529999256134
1268137494.83984,0.420899987220764
1268148029.58594,0.5
1268149220.22656,0.375
1268144976.89453,0.0781200006604195
1268162101.21094,0.75
1268163500.59766,0.375
1268160759.41016,0.09375
1268161895.02344,0.1875
1268162816.86719,0.1875
1268165047.53906,0.875
1268162410.85938,1.0
1268162821.74219,0.875
1268165389.09961,0.1875
1268165052.41406,0.75
1268164809.35547,0.285160005092621
1268165115.53906,1.0
1268170222.29688,1.0
1268168899.89062,0.375
1268169258.70312,1.0
1268169090.17969,0.25
1268170206.77344,1.0
1268169784.84766,1.25
1268169609.67969,0.9375
1268162830.52344,1.03125
1268169591.55859,0.375
